Column1,total_input traffic,total_traffic access,total_traffic metro,total_active antennas,total_loss
0,7.890779751,78.38138657,78.38138657,64,0
0,7.887619742,78.35307289,78.35307289,64,0
0,7.892586571,78.39757568,78.39757568,64,0
0,7.841262821,77.93771488,77.93771488,64,0
0,7.880058731,78.28532623,78.28532623,64,0
0,7.811702855,77.67285758,77.67285758,64,0
0,7.86421505,78.14336685,78.14336685,64,0
0,7.81025116,77.6598504,77.6598504,64,0
0,7.872479545,78.21741672,78.21741672,64,0
0,7.861708246,78.12090589,78.12090589,64,0
0,7.895158161,78.42061713,78.42061713,64,0
0,7.865525861,78.15511172,78.15511172,64,0
0,7.842830417,77.95176054,77.95176054,64,0
0,7.840476934,77.93067333,77.93067333,64,0
0,7.912466269,78.57569777,78.57569777,64,0
0,7.872436998,78.2170355,78.2170355,64,0
0,7.922919978,78.669363,78.669363,64,0
0,7.935969707,78.78628857,78.78628857,64,0
0,7.925777445,78.69496591,78.69496591,64,0
0,7.898273579,78.44853127,78.44853127,64,0
0,7.998289096,79.3446703,79.3446703,64,0
0,7.990626777,79.27601592,79.27601592,64,0
0,7.968888665,79.08124243,79.08124243,64,0
0,7.961012908,79.01067566,79.01067566,64,0
0,7.996801902,79.33134504,79.33134504,64,0
0,7.992467275,79.29250679,79.29250679,64,0
0,8.036077076,79.6832506,79.6832506,64,0
0,8.080545258,80.08168551,80.08168551,64,0
0,8.063974945,79.93321551,79.93321551,64,0
0,8.127124272,80.49903347,80.49903347,64,0
0,8.131924414,80.54204275,80.54204275,64,0
0,8.116099874,80.40025487,80.40025487,64,0
0,8.087693434,80.14573317,80.14573317,64,0
0,8.183314028,81.00249369,81.00249369,64,0
0,8.219702494,81.32853434,81.32853434,64,0
0,8.143624937,80.64687944,80.64687944,64,0
0,8.244968853,81.55492092,81.55492092,64,0
0,8.209673824,81.23867746,81.23867746,64,0
0,8.286199769,81.92434993,81.92434993,64,0
0,8.267346967,81.75542883,81.75542883,64,0
0,8.268165149,81.76275973,81.76275973,64,0
0,8.251553812,81.61392215,81.61392215,64,0
0,8.33175432,82.3325187,82.3325187,64,0
0,8.29442888,81.99808276,81.99808276,64,0
0,8.277665297,81.84788106,81.84788106,64,0
0,8.339405444,82.40107278,82.40107278,64,0
0,8.385178032,82.81119517,82.81119517,64,0
0,8.396285782,82.9107206,82.9107206,64,0
0,8.356435376,82.55366097,82.55366097,64,0
0,8.389585451,82.85068564,82.85068564,64,0
0,8.428762317,83.20171036,83.20171036,64,0
0,8.495294611,83.79783971,83.79783971,64,0
0,8.438286479,83.28704685,83.28704685,64,0
0,8.529320046,84.10270761,84.10270761,64,0
0,8.498485679,83.82643168,83.82643168,64,0
0,8.565608354,84.42785085,84.42785085,64,0
0,8.559564571,84.37369855,84.37369855,64,0
0,8.613698361,84.85873732,84.85873732,64,0
0,8.599690152,84.73322376,84.73322376,64,0
0,8.653949431,85.2193869,85.2193869,64,0
0,8.643782458,85.12829083,85.12829083,64,0
0,8.648150912,85.16743217,85.16743217,64,0
0,8.660884357,85.28152384,85.28152384,64,0
0,8.713063639,85.7490502,85.7490502,64,0
0,8.666243337,85.3295403,85.3295403,64,0
0,8.731457824,85.9138621,85.9138621,64,0
0,8.772551925,86.28206524,86.28206524,64,0
0,8.802032859,86.54621441,86.54621441,64,0
0,8.776911059,86.32112309,86.32112309,64,0
0,8.825926166,86.76029844,86.76029844,64,0
0,8.840535681,86.8911997,86.8911997,64,0
0,8.821411999,86.71985151,86.71985151,64,0
0,8.846622882,86.94574102,86.94574102,64,0
0,8.885864098,87.29734231,87.29734231,64,0
0,8.865295347,87.1130463,87.1130463,64,0
0,8.915890343,87.56637747,87.56637747,64,0
0,8.933779004,87.72665988,87.72665988,64,0
0,8.926620393,87.66251873,87.66251873,64,0
0,8.928776311,87.68183575,87.68183575,64,0
0,8.940207033,87.78425502,87.78425502,64,0
0,8.888362586,87.31972877,87.31972877,64,0
0,9.000810659,88.32726351,88.32726351,64,0
0,8.88679955,87.30572397,87.30572397,64,0
0,8.954030715,87.9081152,87.9081152,64,0
0,9.02188608,88.51609927,88.51609927,64,0
0,8.923158367,87.63149897,87.63149897,64,0
0,8.98605744,88.19507467,88.19507467,64,0
0,8.979546241,88.13673432,88.13673432,64,0
0,8.984836698,88.18413681,88.18413681,64,0
0,9.005044867,88.365202,88.365202,64,0
0,8.944584368,87.82347594,87.82347594,64,0
0,8.991490917,88.24375862,88.24375862,64,0
0,9.063882511,88.8923873,88.8923873,64,0
0,9.017492882,88.47673622,88.47673622,64,0
0,8.943841784,87.81682239,87.81682239,64,0
0,8.942026857,87.80056064,87.80056064,64,0
0,9.016508552,88.46791663,88.46791663,64,0
0,9.011973257,88.42728038,88.42728038,64,0
0,9.077569237,89.01502037,89.01502037,64,0
0,8.99256025,88.25333984,88.25333984,64,0
0,9.0059938,88.37370445,88.37370445,64,0
0,9.008475349,88.39593913,88.39593913,64,0
0,8.980774754,88.1477418,88.1477418,64,0
0,9.013476339,88.440748,88.440748,64,0
0,9.000442934,88.32396869,88.32396869,64,0
0,8.991568875,88.24445712,88.24445712,64,0
0,8.900260272,87.42633203,87.42633203,64,0
0,8.890037386,87.33473498,87.33473498,64,0
0,8.937915712,87.76372478,87.76372478,64,0
0,8.950065375,87.87258576,87.87258576,64,0
0,8.975637349,88.10171065,88.10171065,64,0
0,8.945837225,87.83470154,87.83470154,64,0
0,8.948347849,87.85719673,87.85719673,64,0
0,8.959675114,87.95868902,87.95868902,64,0
0,8.943089196,87.8100792,87.8100792,64,0
0,8.9049734,87.46856166,87.46856166,64,0
0,8.974058198,88.08756145,88.08756145,64,0
0,8.930020821,87.69298656,87.69298656,64,0
0,8.936129657,87.74772173,87.74772173,64,0
0,8.974274276,88.08949751,88.08949751,64,0
0,8.830500722,86.80128647,86.80128647,64,0
0,8.911586981,87.52781935,87.52781935,64,0
0,8.922195644,87.62287297,87.62287297,64,0
0,8.926503404,87.6614705,87.6614705,64,0
0,8.948263312,87.85643928,87.85643928,64,0
0,9.000160874,88.32144143,88.32144143,64,0
0,8.961865688,87.97831657,87.97831657,64,0
0,8.880172216,87.24634305,87.24634305,64,0
0,8.939220772,87.77541812,87.77541812,64,0
0,8.9597806,87.95963417,87.95963417,64,0
0,8.865106021,87.11134995,87.11134995,64,0
0,8.915478064,87.56268345,87.56268345,64,0
0,8.906062488,87.47831989,87.47831989,64,0
0,8.903762291,87.45771012,87.45771012,64,0
0,8.911055422,87.52305658,87.52305658,64,0
0,8.867423981,87.13211887,87.13211887,64,0
0,8.885511123,87.29417966,87.29417966,64,0
0,8.876101296,87.20986761,87.20986761,64,0
0,8.877207421,87.21977849,87.21977849,64,0
0,8.907217949,87.48867282,87.48867282,64,0
0,8.840353092,86.8895637,86.8895637,64,0
0,8.916584337,87.57259566,87.57259566,64,0
0,8.779705527,86.34616153,86.34616153,64,0
0,8.879513906,87.2404446,87.2404446,64,0
0,8.833787492,86.83073593,86.83073593,64,0
0,8.782474259,86.37096936,86.37096936,64,0
0,8.834962724,86.841266,86.841266,64,0
0,8.808825272,86.60707444,86.60707444,64,0
0,8.759249214,86.16287296,86.16287296,64,0
0,8.757727911,86.14924208,86.14924208,64,0
0,8.80871466,86.60608336,86.60608336,64,0
0,8.746031152,86.04443912,86.04443912,64,0
0,8.695755557,85.59396979,85.59396979,64,0
0,8.706504149,85.69027718,85.69027718,64,0
0,8.723742294,85.84473096,85.84473096,64,0
0,8.695026715,85.58743936,85.58743936,64,0
0,8.667244728,85.33851276,85.33851276,64,0
0,8.727413227,85.87762251,85.87762251,64,0
0,8.692338992,85.56335737,85.56335737,64,0
0,8.625359471,84.96322086,84.96322086,64,0
0,8.67664883,85.42277352,85.42277352,64,0
0,8.641348295,85.10648072,85.10648072,64,0
0,8.657096597,85.24758551,85.24758551,64,0
0,8.605988908,84.78966062,84.78966062,64,0
0,8.627778801,84.98489806,84.98489806,64,0
0,8.57201222,84.48522949,84.48522949,64,0
0,8.532736667,84.13332054,84.13332054,64,0
0,8.52119051,84.02986697,84.02986697,64,0
0,8.485259884,83.70792856,83.70792856,64,0
0,8.483125245,83.6888022,83.6888022,64,0
0,8.508373405,83.91502571,83.91502571,64,0
0,8.426278364,83.17945414,83.17945414,64,0
0,8.485019929,83.70577857,83.70577857,64,0
0,8.430286477,83.21536683,83.21536683,64,0
0,8.387904356,82.83562303,82.83562303,64,0
0,8.376668255,82.73494756,82.73494756,64,0
0,8.338158574,82.38990082,82.38990082,64,0
0,8.33119768,82.32753121,82.32753121,64,0
0,8.321034526,82.23646935,82.23646935,64,0
0,8.343548373,82.43819343,82.43819343,64,0
0,8.352229492,82.51597625,82.51597625,64,0
0,8.275771065,81.83090874,81.83090874,64,0
